TotalWaves;TotalSpawnPoints;ImmunityReward;SP0;SP1;SP2
int;int;float;string;string;string
28;3;100;5,0,50;0,0,50;0,0,50
28;3;100;0,0,0;5,0,50;0,2,0
28;3;100;0,0,0;0,0,0;5,0,50
28;3;100;2,0,50;2,0,50;2,0,50
28;3;100;5,1,50;10,0,50;3,2,50
28;3;100;7,0,50;5,2,50;5,1,50
28;3;100;7,2,50;0,0,0;0,0,0
28;3;100;0,0,0;10,1,50;0,0,0
28;3;100;0,0,0;5,1,50;10,0,50
28;3;100;20,0,50;0,0,0;0,0,0
28;3;100;0,0,0;15,1,50;0,0,0
28;3;100;0,0,0;0,0,0;10,2,50
28;3;100;20,0,50;0,0,0;10,2,50
28;3;100;20,1,50;10,0,50;0,0,0
28;3;100;0,0,0;5,1,50;15,0,50
28;3;100;5,1,50;0,0,0;5,2,50
28;3;100;6,2,50;7,1,50;10,0,50
28;3;100;30,1,50;0,0,0;0,0,0
28;3;100;35,0,35;0,0,0;15,2,50
28;3;100;0,0,0;30,1,20;20,0,50
28;3;100;40,0,20;0,0,0;25,2,50
28;3;100;20,1,30;30,0,30;0,0,0
28;3;100;0,0,0;30,2,50;30,1,50
28;3;100;10,2,50,5,1,30;0,0,0;5,1,50,10,2,30
28;3;100;25,0,50,5,1,50,3,2,50;0,0,0,5,1,50,7,2;25,0,50
28;3;100;90,0,20;0,0,0;0,0,0
28;3;100;0,0,0;60,1,20;0,0,0
28;3;100;0,0,0;0,0,0;40,2,20
28;3;100;10,1,50,20,0,50,12,2,50;10,1,50,20,0,50,12,2,50;10,1,50,20,0,50,12,2,50
